steam_id,playtime_forever
76561198006995190,180406
76561198104235208,152258
76561198068866981,149848
76561198065273523,140135
76561198067853837,138906
76561198061028312,134140
76561198055362268,126293
76561198042397874,124630
76561198110293299,121740
76561198035028050,115857
76561198078155249,114527
76561198080682662,113162
76561198079221656,112826
76561198026780542,112308
76561198075257303,110533
76561198073807760,106267
76561198058225280,105721
76561198076341968,104770
76561198056884446,104617
76561198085844107,103775
76561198054477174,101569
76561197996571918,97281
76561198038658133,96090
76561198076109663,96030
76561198103433951,94516
76561198070202465,93285
76561198058076485,93145
76561198066312344,92019
76561198063100139,91809
76561198072156176,90411
76561198038210954,89102
76561198004054009,87111
76561198015981146,86851
76561198072303486,86713
76561198064778508,86617
76561198079554497,86043
76561198040195593,83973
76561198027455361,83778
76561198035288538,83636
76561198019112245,83388
76561198064270809,83337
76561198045625036,82692
76561198093386811,82560
76561198028238732,82322
76561198074498345,80139
76561198082728934,79960
76561198062011594,79765
76561197999589729,78762
76561198081614767,77940
76561198084105682,77357
76561198091548792,76874
76561198074623049,75960
76561198064426384,74879
76561198108641918,74668
76561198027330526,74598
76561198075582003,73808
76561198050944421,70880
76561198060494794,70398
76561197989012314,69883
76561198059788719,69176
76561198041628266,68128
76561198046054296,67848
76561198022226815,67434
76561198060883085,64328
76561198030769891,63751
76561198035146378,63035
76561198087309780,62233
76561198081786584,62113
76561198056684843,61958
76561198045506845,61623
76561198065377860,61457
76561198072238824,61406
76561198016823310,61046
76561198068478836,60203
76561198082939654,59956
76561198094455101,59906
76561198012189478,59883
76561198090825490,59490
76561198055815900,59425
76561198052180785,59288
76561197991872030,58833
76561198063283911,58371
76561198047520506,58301
76561198072755767,57953
76561198081009511,57697
76561198024305714,57343
76561198095854524,56804
76561198050051190,56215
76561198099395042,55839
76561198121991182,55512
76561198066814585,54738
76561198028238414,54534
76561197993631180,54516
76561198026637434,54472
76561198090300952,54148
76561198089643196,53620
76561198022675831,53453
76561198091387316,53376
76561198161816648,53318
76561198065543620,53235
76561198084032274,52860
76561198043462574,52523
76561198062737330,52138
76561198058745121,51941
76561198181921139,51801
76561198052504403,51800
76561198070988262,51544
76561198075975771,51492
76561198059048922,51364
76561198073607481,51275
76561198073631588,51127
76561198014910012,50555
76561198068672506,50472
76561198101278301,50387
76561198040749643,50346
76561198057684308,49737
76561198013368753,49343
76561198061650250,49185
76561198054397103,49137
76561197977084867,49035
76561198147195491,48660
76561198044826630,48620
76561197995164445,48611
76561198077911827,48237
76561198086139632,48188
76561198059912962,48169
76561198064317610,47986
76561198106883456,47949
76561198086658851,47831
76561198095765519,47822
76561198067220227,47665
76561198077121154,47443
76561198050363268,47416
76561198026308363,47347
76561198046471704,47155
76561198093825306,46883
76561198077021858,46838
76561198071529855,46665
76561198070174799,46424
76561198018026822,45970
76561198057982190,45966
76561197995961075,45663
76561198019173111,45657
76561198040728118,45581
76561198019596100,45530
76561198038332068,45282
76561198064692010,45209
76561197989725385,45087
76561198072562456,44971
76561198009001563,44919
76561198077779129,44535
76561198035511780,44316
76561198015496188,44247
76561198033698382,44222
76561198004311251,44158
76561198034549116,44148
76561198068529848,44132
76561198053653347,44065
76561198006145983,44038
76561198049946995,44036
76561197997118244,44003
76561198014749828,43643
76561198051371875,43608
76561198085128914,43564
76561198067662523,43497
76561198022095288,43475
76561198060068927,43194
