steam_id,playtime_forever
76561198014726093,1611
76561197995207074,683
76561198035340194,583
76561198102767019,465
76561198080610062,444
76561198062232099,353
76561197999222178,273
76561198051832174,265
76561198083814242,244
76561198067219635,240
76561198058230663,237
76561198138390863,227
76561198048151962,225
76561198000537256,217
76561198118965684,210
76561198087066156,191
76561197994830976,171
76561198065116898,127
76561198067926857,106
76561198032007689,98
76561198061576807,94
76561198022962630,17
76561198004673788,14
76561198045884541,4
76561198091853107,0
76561197991699268,0
76561198070585472,0
76561198052912739,0
76561198023381231,0
76561198058089557,0
