steam_id,playtime_forever
76561198073642113,207651
76561198088568344,145729
76561198072177030,144853
76561198068614009,109916
76561198005620005,107220
76561198061456632,97034
76561198060420949,83352
76561198023903233,82584
76561198049612544,77322
76561198074160048,76653
76561198016823310,66214
76561198059330972,66104
76561198106396657,65026
76561198060702847,57198
76561197978806444,54230
76561198073517944,49289
76561197967272400,47667
76561198089082829,42357
76561198057660590,41868
76561197995340623,37875
76561198090481268,34659
76561198093605234,33208
76561198080588799,32422
76561198115564200,31938
76561198063370792,30163
76561198069289582,29483
76561198050365120,29132
76561197966936422,28987
76561198062904485,28276
76561197980417608,27343
76561198041869657,27094
76561198069145498,26042
76561198003688205,25156
76561198119721428,23913
76561198020705284,23752
76561198073280697,23045
76561197966574504,22292
76561198045611685,21338
76561198104580262,19600
76561198000537256,19588
76561198042776645,19428
76561198012909706,18779
76561198085241786,18572
76561198033427685,17935
76561198044508924,17886
76561198115350277,17854
76561198085764616,17176
76561197988004162,17112
76561198033227083,16867
76561198082816640,16662
76561198018253445,15901
76561198042066514,15882
76561198013018363,15629
76561198070845116,15456
76561198013368753,15456
76561198062940250,14565
76561197960540939,14423
76561198050931863,14226
76561198087835305,13972
76561198053105253,13770
76561198075233562,13661
76561197972402439,13534
76561198080293259,13377
76561198096741403,12856
76561198078933557,12228
76561198057172451,12192
76561198022404680,11887
76561198082157728,11786
76561198064117170,11711
76561198056327333,11644
76561198062908030,11483
76561198062326873,11449
76561198064752728,11268
76561198010947114,11243
76561198039365853,10954
76561198048446548,10943
76561197971829696,10192
76561198069536565,9947
76561198043909770,9920
76561197992014675,9551
76561197969049193,9335
76561197984270564,9089
76561198053619760,9006
76561198028989180,8981
76561197961040696,8922
76561198022226815,8837
76561198049551973,8757
76561198093264479,8712
76561198044300314,8708
76561198026953499,8501
76561198044666616,8467
76561197983988146,8456
76561198066018289,8415
76561198072745658,8404
76561198077862249,8388
76561198073121941,8272
76561198023175670,8212
76561198045755911,8081
76561198045718756,8074
76561198076028964,7820
76561198090464330,7669
76561198075936277,7645
76561198044454118,7561
76561198050953564,7521
76561198104635526,7379
76561198047903849,7346
76561198034392042,7260
76561197976370569,7256
76561198054378776,7235
76561198056652803,7205
76561198035893080,7197
76561198027455361,7194
76561198070171891,7148
76561198012139879,7037
76561198010247259,7036
76561198051686686,7034
76561198046097024,6958
76561198044800577,6947
76561198017164203,6896
76561198044283501,6883
76561198027443860,6862
76561198033993807,6834
76561198091789099,6766
76561198040102297,6764
76561198078823556,6750
76561198051253857,6742
76561198013165109,6718
76561197967787808,6659
76561198006489013,6605
76561198018109064,6590
76561198064427658,6526
76561198026289602,6517
76561198046456055,6498
76561198072801294,6436
76561198069043330,6424
76561198092267626,6417
76561197993631180,6315
76561198051969075,6268
76561198072549653,6243
76561198048794398,6208
76561197980516081,6180
76561198070812992,6177
76561198096176861,6157
76561198091795062,6098
76561198086402135,6052
76561198058530277,6032
76561198025266324,6030
76561198077662747,6021
76561197988484690,6012
76561198053787183,5988
76561198071472087,5988
76561198001721574,5980
76561197990782367,5753
76561198054627970,5742
76561198029976254,5695
76561198040931135,5688
76561198079132475,5685
76561198067563956,5637
76561198048934899,5635
76561198120768781,5544
76561198040651489,5494
76561198083573232,5489
76561197987065774,5472
76561198088032782,5426
76561198045832825,5343
76561198019437162,5327
76561198059789255,5326
76561198039224622,5319
76561197999613236,5294
76561198126926393,5231
76561198052846013,5133
76561197996524718,5126
76561197992301667,5119
76561198085601351,5102
76561198029726922,5057
76561198047095349,4984
76561197971116715,4966
76561198217725605,4956
76561198120475353,4908
76561198132903596,4907
76561198066331075,4903
76561198042966858,4857
76561198065725333,4847
76561198089011827,4835
76561198046442917,4809
76561198081478781,4806
76561198043401005,4790
76561198063361762,4780
76561198076512268,4598
76561198087349449,4571
76561198001113969,4548
76561198086088041,4524
76561198039330239,4492
76561198073046687,4484
76561198086204791,4440
76561198063685999,4349
76561198035025987,4342
76561198061953677,4335
76561197972904421,4325
76561198033628583,4292
76561198070379736,4280
76561198061034622,4261
76561198044746794,4221
76561198036180096,4192
76561198077255625,4179
76561198078782259,4179
76561197999723750,4168
76561198055340148,4145
76561198031386080,4134
76561198067812801,4105
76561198051264384,4091
76561198095226942,4087
76561198064899503,4047
76561198068953074,4043
76561197968788420,4034
76561198061770996,3979
76561198106890962,3948
76561198029573672,3934
76561198028296722,3923
76561197972452208,3914
76561197993255329,3909
76561198062099971,3897
76561198071259746,3878
76561198063670796,3868
76561198053882210,3817
76561198108946181,3796
76561198075343618,3786
76561198019066447,3746
76561198008156157,3746
76561198043508283,3735
76561198072429924,3711
76561198044927201,3694
76561198060171711,3681
76561198053382774,3655
76561198065450603,3654
76561198068581244,3650
76561198113534022,3647
76561198089645378,3632
76561198088919134,3604
76561198068153798,3602
76561198038573915,3599
76561198095532264,3578
76561198062232099,3539
76561198037633851,3534
76561198070092383,3528
76561197994196557,3522
76561197999659750,3513
76561198052499189,3487
76561198050502764,3445
76561198059966696,3443
76561198082602087,3441
76561198031391972,3433
76561198074168077,3426
76561198085285121,3417
76561198073773232,3412
76561198162406531,3376
76561198059924881,3366
76561198033226497,3351
76561198019521027,3345
76561198082076738,3340
76561198001518866,3337
76561198024539037,3319
76561198006149002,3252
76561198057707533,3251
76561198079297665,3247
76561198069215619,3238
76561198098284816,3227
76561198211277364,3205
76561198008156042,3201
76561198004358398,3166
76561198023083411,3164
76561198040774092,3107
76561198037720383,3104
76561198088237893,3083
76561198032046112,3078
76561198100838693,3004
76561198044520570,2974
76561198050614447,2968
76561198072920066,2967
76561197995725436,2958
76561198045534062,2939
76561198079359578,2927
76561198041359449,2916
76561197975825297,2915
76561198077636429,2897
76561198030042191,2892
76561198051579252,2891
76561197968594848,2890
76561198098025074,2874
76561198051799142,2870
76561198064859777,2868
76561198071943219,2859
76561197971584721,2795
76561198042065060,2788
76561198074302753,2777
76561198014803668,2776
76561198040946765,2771
76561198082053657,2752
76561197995207074,2724
76561198036542836,2720
76561198038253929,2713
76561198060767321,2704
76561197963469414,2695
76561198092309814,2682
76561197970977029,2682
76561198051796778,2676
76561198073934730,2662
76561198072864781,2636
76561198081938549,2612
76561198103156953,2609
76561197964386571,2608
76561197989292977,2604
76561198044571371,2596
76561198045760737,2589
76561197971016469,2588
76561198065040988,2582
76561198022376803,2567
76561198053677846,2552
76561197998204039,2543
76561198054131489,2542
76561198026735838,2525
76561198046358783,2482
76561197989691928,2471
76561198050718261,2462
76561198063843510,2461
76561198070282717,2459
76561198039694296,2449
76561198040016388,2434
76561198044831412,2418
76561198080267040,2410
76561197961465709,2399
76561198092968810,2397
76561198058885579,2388
76561197999401005,2361
76561198006225175,2348
76561198061295721,2347
76561198060517829,2347
76561198077271876,2346
76561198069351753,2344
76561198073675617,2339
76561198084448411,2329
76561198005778772,2327
76561198078212818,2322
76561197963293081,2277
76561198065092662,2223
76561198091558225,2218
76561198040393416,2216
76561198074346083,2211
76561198041599441,2202
76561197994605232,2192
76561198081840129,2175
76561198287733801,2172
76561198071592261,2170
76561198055926956,2163
76561198067492765,2156
76561198067257274,2153
76561198064948429,2137
76561198042948966,2106
76561198026308363,2090
76561198036566771,2068
76561197962967292,2057
76561198049842161,2044
76561198090826122,2041
76561198047829440,2035
76561198045481242,2016
76561198036902336,2011
76561198083974125,2003
76561198053145578,1987
76561198088800741,1983
76561198029987469,1976
76561198026303861,1967
76561198063817275,1950
76561198039194306,1935
76561198020709117,1933
76561198093013080,1931
76561198045638432,1927
76561197995540824,1917
76561198093166360,1906
76561198033824559,1901
76561198041993231,1893
76561198045645912,1892
76561198036513236,1887
76561198060507477,1887
76561197985019267,1877
76561198040106275,1875
76561198042066892,1871
76561198047241493,1863
76561198022710216,1858
76561198044363267,1853
76561198062566313,1846
76561198070332536,1845
76561198038178954,1843
76561198022267805,1843
76561198064536870,1830
76561198117334889,1817
76561198089750815,1812
76561198065337651,1805
76561198062271200,1802
76561197979596986,1802
76561198067609823,1800
76561198051084099,1789
76561198094515883,1789
76561198061717339,1786
76561198068853111,1785
76561198010455527,1782
76561198058659961,1781
76561197974985248,1778
76561198076482697,1775
76561198069476650,1756
76561198016311260,1739
76561197965966319,1734
76561198106152859,1721
76561197995389992,1718
76561198128484504,1718
76561198079984204,1715
76561198020940001,1697
76561198034699157,1694
76561198060161135,1691
76561197983118258,1683
76561198094997873,1679
76561198056489290,1666
76561198102767019,1665
76561198003549970,1661
76561197992387090,1655
76561198085121004,1653
76561197999240770,1648
76561197987831671,1648
76561198068036541,1633
76561198068639377,1630
76561198197327995,1629
76561198116243728,1615
76561198129356967,1610
76561198253126471,1609
76561198019195980,1608
76561198007282725,1606
76561198066637196,1595
76561198010201871,1593
76561198062137247,1579
76561198009197611,1572
76561197986574485,1572
76561197981615068,1569
76561198001462907,1567
76561198096861382,1563
76561198003968173,1553
76561197985363775,1542
76561198047983861,1530
76561198084100496,1527
76561198006735420,1523
76561197976580478,1523
76561198073775164,1518
76561198042512566,1517
76561198028243178,1513
76561198044304918,1513
76561198043890898,1500
76561198065053375,1499
76561198080345507,1493
76561198060846573,1484
76561197996188613,1471
76561198043895991,1462
76561198091091217,1458
76561197976724854,1458
76561198082591936,1455
76561198089093825,1454
76561198076566763,1440
76561198063644848,1439
76561198088437654,1437
76561197968307794,1435
76561198024918862,1431
76561197970530820,1427
76561198059273758,1419
76561198092020048,1415
76561198086062807,1413
76561198069590255,1407
76561198004175258,1405
76561198022148624,1405
76561198231877820,1397
76561197993981283,1392
76561198049323129,1385
76561198053964143,1384
76561198051829009,1376
76561198078379853,1376
76561198032545813,1372
76561197988455997,1366
76561197960498789,1363
76561198079621961,1351
76561198044143830,1341
76561198066702353,1340
76561198027827983,1333
76561198028719860,1332
76561197969519712,1319
76561198027110664,1317
76561198061175850,1309
76561198073455408,1306
76561198029571120,1301
76561198089300025,1295
76561197961329815,1291
76561197982587661,1291
76561198071681706,1282
76561198053373103,1281
76561198091885821,1281
76561198050729427,1279
76561198083053319,1276
76561198021923374,1274
76561198063309462,1273
76561197974253442,1264
76561198034270257,1264
76561198009553196,1262
76561198009985493,1254
76561198024129921,1250
76561197965557728,1241
76561197997494093,1240
76561197981041432,1238
76561198122117056,1237
76561198077787409,1236
76561198043630790,1231
76561198076519474,1226
76561198192831475,1225
76561198060799116,1223
76561198010492394,1223
76561198118542277,1220
76561198043784371,1217
76561198095307531,1214
76561198069680646,1213
76561198041242951,1207
76561198000627924,1197
76561198087327486,1191
76561198060992054,1190
76561198087409696,1190
76561198083142038,1184
76561197994185268,1182
76561198071069573,1169
76561198073225181,1168
76561198054970410,1167
76561198062311376,1166
76561198038793188,1161
76561198058980916,1161
76561197960301961,1158
76561198073493489,1158
76561198024661032,1154
76561198076838231,1154
76561198078286935,1150
76561198019106125,1149
76561198021543255,1149
76561197967473231,1148
76561198062056538,1148
76561198078764447,1141
76561198071429235,1140
76561198048340261,1137
76561198100666047,1135
76561198040060741,1130
76561198082011682,1120
76561198044424619,1117
76561198096240087,1115
76561198018028406,1114
76561198066390991,1113
76561198033387354,1112
76561198002557471,1107
76561197988411069,1104
76561198008848530,1103
76561198064790215,1100
76561198013973721,1098
76561198076863368,1093
76561198067449201,1085
76561198071197576,1081
76561198033257130,1079
76561198062072699,1077
76561198089480352,1076
76561198083200551,1073
76561198095275097,1073
76561198122760438,1072
76561198062417421,1069
76561198036657265,1060
76561198058643355,1058
76561198048071206,1055
76561198051522650,1052
76561198083097986,1050
76561198069614338,1049
76561198041637400,1045
76561198047089878,1041
76561198021671855,1038
76561198086498571,1037
76561198043659279,1037
76561198073518018,1035
76561198026008283,1035
76561197973156896,1032
76561198069920369,1032
76561198031147214,1030
76561198050762093,1026
76561197993340118,1025
76561198044132041,1024
76561198066113186,1023
76561198139532679,1022
76561198001508140,1021
76561198049547331,1019
76561198026725437,1016
76561198035535269,1013
76561198043112708,1000
76561198072840422,999
76561198013788178,996
76561198022693314,994
76561198042647069,991
76561198062570934,990
76561198041624506,990
76561198068671898,990
76561198043070022,988
76561198068385228,987
76561198045707348,987
76561198091258238,986
76561198066710270,986
76561198057924996,985
76561198029766209,984
76561198035871783,980
76561198043804617,978
76561198042591626,976
76561198056008252,975
76561198079403831,975
76561197978138789,973
76561198074281268,970
76561198077663677,968
76561198067640701,967
76561198054155652,965
76561198000762928,962
76561198011582736,960
76561198070424600,956
76561198032474845,955
76561198075300723,954
76561198054371024,954
76561198010372179,945
76561198075451549,939
76561197961938345,932
76561198044039434,925
76561198036524567,924
76561198069200212,923
76561198017540600,921
76561198037009387,921
76561198076291372,921
76561198068441529,919
76561198098657376,919
76561198003811382,915
76561198047624325,913
76561198070333683,913
76561198023446497,909
76561198058095161,909
76561197970238539,905
76561197974522156,905
76561198089899736,903
76561197961637426,900
76561198055819325,898
76561198033231033,898
76561198026786435,897
76561198056790377,894
76561198058579029,893
76561197963455626,891
76561198090227095,889
76561197992206793,889
76561198059293448,887
76561198068809841,886
76561198050948098,884
76561198081277170,883
76561198030851714,882
76561198068494125,879
76561198036693858,875
76561198052108889,872
76561198028683922,863
76561198016009020,863
76561198073850483,861
76561198060176226,860
76561197963401558,856
76561198063547020,856
76561198078500090,855
76561198037485673,853
76561198056585131,851
76561198095279995,846
76561198097197384,846
76561198081635650,843
76561198086758138,842
76561198059691459,841
76561198148594330,837
76561198025107925,837
76561198086361892,835
76561197997055953,834
76561198081342412,830
76561198039357958,827
76561197977389534,825
76561197991572011,824
76561197971076715,824
76561197993185475,823
76561198042055204,822
76561198089643196,822
76561198070187887,821
76561197965117960,820
76561198163180419,820
76561198014522022,809
76561198065049670,809
76561198063113447,808
76561198086980689,808
76561198043530022,806
76561197999852646,805
76561198072413255,804
76561198007906584,800
76561198027482221,799
76561198027304127,798
76561198051144561,797
76561198094712652,796
76561197977489544,796
76561198044952520,795
76561197961633679,794
76561198092470446,792
76561198070344487,791
76561198090450797,781
76561198049278495,781
76561198060800756,779
76561198051759723,779
76561198015398411,778
76561198027720165,777
76561198042580404,776
76561198045784460,775
76561198050401965,774
76561198026239418,773
76561198060559815,772
76561198058348122,768
76561198072194263,768
76561198077365109,766
76561198078807508,762
76561198078572878,761
76561198098526969,760
76561198026904430,760
76561198131248794,759
76561198065322037,756
76561198010576179,755
76561198066955730,755
76561198040677550,755
76561198085139287,753
76561198092284754,751
76561198154036587,749
76561198067809752,749
76561197997714585,748
76561198055307813,747
76561198070562272,743
76561197992005814,742
76561197960270742,738
76561198065759998,734
76561198060198463,734
76561198056486388,733
76561197967071710,728
76561197998184532,727
76561198079555149,726
76561198046223951,725
76561198059130998,724
76561198051314722,724
76561197992810343,723
76561197970723780,722
76561198063157934,718
76561198095033293,718
76561198045633202,718
76561198072031255,715
76561198065422808,714
76561198032713655,714
76561198034839917,713
76561198085869763,712
76561198092328908,712
76561197992386426,711
76561198071901330,710
76561197963219999,710
76561198084441276,707
76561197993160547,707
76561198075385395,706
76561198045303038,706
76561198036950468,705
76561198039205367,705
76561198240794654,705
76561198015847149,703
76561198055365530,703
76561198025198077,702
76561198090666299,702
76561198048365924,701
76561198055657103,700
76561197998943704,700
76561198094780411,698
76561198087066156,698
76561198075375032,698
76561197977578328,698
76561198072328157,697
76561198095751554,695
76561197988397124,694
76561197967105188,691
76561198077993857,691
76561198015525388,690
76561197967184620,687
76561198060808273,687
76561198040681810,686
76561197964334210,685
76561198078717300,683
76561198060529632,682
76561198082177323,681
76561198049423901,681
76561198044998451,679
76561198081071899,678
76561197998190088,677
76561198047825954,672
76561198033251396,672
76561198055009078,670
76561198067146401,668
76561198056011214,668
76561198083439187,666
76561197997213967,666
76561198035142532,664
76561198255595431,663
76561198104215028,662
76561198063358884,658
76561197960306498,658
76561197960270504,656
76561198092966729,651
76561198056906593,650
76561197960704921,646
76561198066396517,646
76561198130969090,644
76561198079505060,636
76561198055695175,633
76561197999923195,631
76561198069905942,631
76561198014726093,630
76561197969339666,628
76561198067182014,628
76561198075777116,625
76561197970742964,625
76561198014378834,624
76561198035428985,623
76561198069126276,622
76561198059874904,620
76561197981672499,619
76561198083611211,617
76561198050020525,617
76561198039778509,617
76561198041229846,616
76561198022557912,615
76561198034465295,615
76561198097172610,614
76561198070684544,613
76561197998876897,611
76561198073103938,611
76561198058310827,611
76561198057389997,609
76561198060901683,606
76561198020056389,605
76561198064117191,604
76561198105244421,604
76561198034567618,602
76561197970535618,602
76561198062701680,601
76561197963864565,601
76561197992809369,598
76561198063040076,598
76561198064582041,597
76561198100626562,596
76561198073975526,594
76561198045942232,593
76561198047276078,588
76561198064299103,588
76561198058571834,584
76561198051372466,584
76561198052287288,582
76561198085852706,581
76561198065654752,580
76561198000740110,580
76561198088932660,579
76561198002197346,578
76561198040998623,577
76561198111669258,576
76561198085975327,576
76561198053230995,575
76561198035905264,575
76561198057282178,573
76561198054898894,573
76561198034518769,572
76561197997792190,567
76561198095123805,566
76561197990266762,563
76561198063899231,562
76561198106868220,561
76561198051322188,560
76561198050245840,560
76561198007437086,559
76561197971366625,558
76561198031281020,558
76561198073222903,558
76561198065006615,557
76561198032484270,557
76561197972609650,555
76561198036217162,554
76561198069271631,554
76561198047117369,554
76561198067855849,549
76561198073069438,548
76561198081164897,548
76561198041448509,547
76561198055949595,547
76561198072460787,545
76561198075850899,545
76561197999685030,544
76561198064949871,543
76561198053365165,542
76561198094665607,542
76561198056457074,541
76561198046710438,541
76561198119335225,541
76561198070585472,540
76561198046333664,540
76561198016026924,539
76561198051015993,539
76561198056780417,539
76561198011644914,536
76561198026262743,534
76561198028499067,533
76561198069995506,533
76561198086973111,533
76561198070718138,530
76561198061595403,529
76561198068793937,528
76561197985576649,525
76561198021307778,524
76561197999638720,522
76561198064189986,521
76561198044237378,521
76561198104198790,519
76561197965207724,517
76561198068140161,516
76561197995333910,514
76561198055321600,513
76561198056573461,513
76561198047561517,513
76561198085542265,513
76561197968713499,512
76561198045412264,512
76561198070805372,511
76561198064476584,508
76561198022347840,507
