steam_id,playtime_forever
76561198006995190,180406
76561198061028312,133078
76561198027455361,76690
76561198034699157,76180
76561198022226815,67434
76561198081786584,62113
76561198030769891,59408
76561198094455101,58548
76561197993631180,54516
76561198052504403,52534
76561198062737330,51185
76561198013368753,49343
76561198039701203,48483
76561198064692010,45607
76561197972303841,44473
76561198004311251,43701
76561198002380984,42715
76561198074505576,41990
76561197993591260,41348
76561198057982190,40728
76561198039631435,39280
76561197966979423,39243
76561197970758033,38322
76561198052029872,36371
76561198035202077,36088
76561198016458849,34764
76561198042770842,34701
76561198087466439,34272
76561197994490118,33760
76561198045506845,33721
76561198022666487,33518
76561198026308363,33099
76561197990880154,33069
76561198045797718,32818
76561198073120349,32728
76561197992785026,32130
76561198045124565,31903
76561197971857001,31201
76561197966298550,31102
76561198061505714,31098
76561197995850655,30734
76561197990340465,30559
76561198000554821,30127
76561198082325305,29518
76561198066892282,29475
76561198044738808,29129
76561198057998681,28942
76561198081026741,28775
76561198040710605,28688
76561198048588318,28518
76561198004673788,28345
76561198001743414,27600
76561198041784529,26781
76561198088807138,25974
76561198072653652,25266
76561198054131489,25192
76561198043909770,25026
76561198047821070,24469
76561197977251065,23511
76561198048526408,23342
76561198057220133,23116
76561197995495679,22714
76561198082939654,22393
76561197993871194,21312
76561197995725436,21170
76561198056633646,21149
76561198093768306,20747
76561198011533373,20705
76561198067674227,20604
76561198083375450,20499
76561198033387354,20158
76561198031840883,20123
76561198025313381,19959
76561198060969570,19896
76561197996426598,19801
76561198064622894,19606
76561198058826879,19595
76561198026810952,19480
76561198054752011,19369
76561198051092954,19130
76561198046358783,18966
76561197994380497,18700
76561198048708552,18592
76561198077210007,18451
76561198039694296,18304
76561198047821082,18269
76561198068494125,18103
76561197963549028,18047
76561198100129112,17960
76561198061567619,17942
76561198050051190,17441
76561198003772075,17102
76561198068156317,17057
76561198046118971,17033
76561198076219556,16922
76561197997530856,16882
76561198160559380,16748
76561198051511620,16635
76561198054613028,16536
76561198017140286,16510
76561198066312344,16481
76561198034523826,16243
76561198042649425,16146
76561198025266324,16070
76561197998061835,16029
76561197970775891,15969
76561198018553225,15587
76561198067686885,15566
76561197990451246,15544
76561197998219184,15460
76561198029817505,15420
76561198091646383,15412
76561198056735088,15211
76561198032794297,15111
76561198066968708,14977
76561198060146226,14881
76561198023745309,14771
76561197962736283,14689
76561198066272265,14659
76561198029681660,14588
76561198015680666,14585
76561198009846599,14508
76561198025536901,14460
76561198189501926,14170
76561197967664049,14167
76561198040363988,14118
76561198032558761,14114
76561198062313883,14108
76561198059017416,14047
76561197985990065,14044
76561198041581278,14013
76561198073725443,13999
76561198043637538,13779
76561198084679366,13638
76561197970535832,13549
76561198046802717,13541
76561198025107925,13538
76561197976984468,13533
76561198062328993,13526
76561198037750323,13457
76561197995207074,13442
76561198070005881,13411
76561198018586074,13402
76561198011431696,13347
76561198030245280,13341
76561198048948026,13340
76561198024776356,13316
76561198050613769,13263
76561197992427444,13260
76561198056277856,13178
76561198050363268,13154
76561197996033933,12965
76561197991572011,12904
76561198065247809,12862
76561197972296753,12838
76561198089041882,12822
76561198015164767,12766
76561198029976254,12762
76561198001368533,12748
76561197991092850,12715
76561198045833405,12703
76561198056774386,12692
76561198060656659,12635
76561198074333465,12577
76561198082227157,12544
76561198084015139,12541
76561197976313504,12521
76561198042410388,12496
76561198046864121,12466
76561198065231196,12453
76561198093792908,12391
76561198054149292,12335
76561198070335606,12334
76561198000345791,12314
76561198047646794,12259
76561198075993539,12240
76561198026336033,12198
76561198064395261,12193
76561197960468196,12179
76561197986916169,12145
76561198023287837,12101
76561198053619286,12040
76561198028592267,12017
76561198044027541,12008
76561198058887844,11975
76561198036745107,11875
76561198000740110,11805
76561197969311825,11799
76561198035594384,11796
76561197976032007,11733
76561198024890098,11727
76561197995483380,11682
76561197962775018,11662
76561198056102052,11480
76561198060601367,11468
76561198025743515,11392
76561198029595343,11342
76561198062232099,11306
76561198065491382,11282
76561198012135937,11217
76561198078138335,11204
76561197992280471,11181
76561197992344717,11112
76561198045133986,11075
76561198043068048,11040
76561198042065834,11018
76561198045154816,11016
76561198053000587,10937
76561197996571918,10927
76561198043028094,10893
76561198015339516,10815
76561198019437162,10811
76561198057049076,10803
76561197962929275,10795
76561198030943511,10643
76561198059969805,10635
76561197989691928,10574
76561198047470321,10559
76561198072976420,10544
76561197970937211,10539
76561198038951129,10534
76561198059318735,10514
76561198048313808,10494
76561198075827113,10434
76561198034215738,10372
76561198044138438,10354
76561198014951202,10253
76561197970525544,10176
76561198081340023,10153
76561197963469414,10143
76561198006267245,10104
76561198034567618,10048
76561198040233085,10030
76561198010620108,10020
76561198071057875,9996
76561198035999413,9967
76561198077437930,9949
76561198055926956,9880
76561198071635721,9874
76561198072029747,9860
76561198078913859,9857
76561198025392861,9734
76561198080506389,9706
76561197972143548,9695
76561198057471883,9689
76561197967787808,9682
76561198036161390,9651
76561198040060741,9639
76561197993705230,9581
76561198075420829,9569
76561198035809740,9565
76561198001808821,9561
76561198032651953,9542
76561198054602972,9517
76561198028583056,9517
76561197990895276,9477
76561198033429149,9443
76561198045707348,9440
76561198127521504,9413
76561198095345433,9412
76561198053471515,9411
76561197972797551,9368
76561198026461734,9361
76561198106878606,9350
76561198040091426,9342
76561198042148642,9269
76561198030968992,9263
76561198047695661,9258
76561198035814564,9236
76561198043505113,9210
76561198127849339,9191
76561198001917486,9142
76561198012189478,9119
76561198005620005,9117
76561198027110664,9100
76561198044652825,9077
76561197986715883,9075
76561198067171086,9040
76561198063861019,9033
76561197992618958,9030
76561198043003447,8984
76561198012076358,8980
76561197989039660,8975
76561198006994190,8973
76561198083084460,8971
76561197997131727,8966
76561198051715280,8958
76561197995164445,8936
76561198037521552,8918
76561198044890488,8913
76561198027330526,8913
76561198077811980,8907
76561198058124455,8906
76561198029274175,8884
76561198089123722,8878
76561198043530022,8867
76561197993128335,8829
76561198072751883,8809
76561198073069438,8804
76561197979745311,8752
76561198044508924,8742
76561198047701821,8742
76561198068420640,8723
76561198131002806,8714
76561198070647134,8612
76561197966936422,8604
76561198055775481,8560
76561198033134963,8549
76561198055775816,8524
76561198024001992,8512
76561198043897246,8501
76561198045640612,8479
76561198052737632,8477
76561198067997800,8458
76561197960798335,8446
76561198088971013,8429
76561198045792460,8341
76561197963395264,8341
76561198075396291,8336
76561197996890146,8267
76561197969731516,8251
76561198022506876,8248
76561198056211827,8219
76561198225431384,8217
76561198007306685,8137
76561198040150405,8133
76561198026344945,8109
76561198068500978,8078
76561198040099619,8058
76561198072388210,8058
76561198027254626,8036
76561198056504388,8009
76561198062967154,8008
76561198073754800,7985
76561198038995719,7952
76561198058742898,7938
76561197960888883,7934
76561198098373776,7889
76561198069552266,7887
76561198060824524,7862
76561198065322400,7846
76561197967174031,7837
76561198021622222,7812
76561197972261430,7802
76561198092015254,7768
76561198045420316,7765
76561198087770592,7752
76561197994831363,7728
76561198118965684,7713
76561198017797921,7644
76561198055373462,7625
76561198054026701,7601
76561198069683837,7549
76561198047065819,7542
76561198041998817,7535
76561198046134938,7503
76561197995022755,7488
76561198043909573,7409
76561198143334950,7383
76561198035607937,7376
76561198071474939,7372
76561198064375394,7365
76561198052190360,7320
76561198014171981,7302
76561198012692998,7263
76561198045030771,7262
76561198039119848,7259
76561198071159522,7250
76561198037810633,7228
76561198071332808,7220
76561198066566016,7216
76561198086298637,7208
76561198060502304,7157
76561198011645494,7156
76561198081715961,7154
76561198118697312,7150
76561198051342267,7142
76561198046186008,7129
76561197984249981,7127
76561198038080284,7126
76561198077370213,7101
76561198057023291,7092
76561198043356370,7091
76561198056371127,7090
76561198025816046,7075
76561198044113153,7074
76561198056194879,7070
76561198039229372,7045
76561198057453677,7017
76561198046664381,7016
76561198006735420,7006
76561198069995506,7006
76561198010679125,6997
76561198095506994,6986
76561197987342242,6975
76561198080696168,6953
76561197999532036,6948
76561198046062663,6925
76561198325096636,6922
76561198042022376,6908
76561198035203313,6890
76561197989113830,6878
76561197990097714,6873
76561198031147214,6867
76561198028172459,6821
76561198061663176,6813
76561198089025339,6810
76561198054209156,6797
76561198038374904,6783
76561198014231757,6777
76561198011739835,6775
76561198043112708,6752
76561198058816627,6733
76561198061657056,6728
76561198083598589,6718
76561198013466123,6696
76561198083636157,6684
76561198101648152,6606
76561198053379278,6601
76561198045983131,6572
76561198032713655,6561
76561198076835892,6557
76561198049795042,6542
76561198061589633,6538
76561198073908917,6533
76561197995163667,6525
76561198019737749,6524
76561198081299936,6506
76561198047613547,6503
76561198027225504,6502
76561197989192658,6501
76561198006442367,6492
76561197988397124,6473
76561197998873955,6473
76561198046726002,6469
76561198071028681,6461
76561198044610496,6456
76561198014129791,6453
76561198047569011,6443
76561198090590971,6440
76561198059424139,6422
76561198039288817,6414
76561198091758520,6413
76561198075177267,6385
76561198071000902,6377
76561198013341259,6347
76561198055372831,6345
76561197969418604,6337
76561198031911370,6334
76561198063105146,6331
76561198043423140,6325
76561198043803847,6322
76561197985164606,6322
76561197972880792,6321
76561198000529676,6315
76561198025911906,6314
76561198013091048,6314
76561198085905908,6293
76561198006142961,6289
76561198032474845,6271
76561198058385836,6266
76561198089300025,6258
76561198074477998,6239
76561198007150650,6202
76561198069840992,6192
76561198042802930,6183
76561198044198059,6170
76561198121874542,6114
76561198048235993,6090
76561198073837578,6088
76561198045797366,6068
76561198059180746,6067
76561198064736339,6051
76561198072423643,6048
76561198075300723,6042
76561198089153132,6040
76561197968531038,6028
76561198063489825,6024
76561197996403460,6018
76561198007521657,5989
76561198078302338,5984
76561198003428090,5975
76561197981448997,5970
76561198059604675,5965
76561198041031889,5960
76561198037009387,5958
76561198027595535,5958
76561198029822037,5945
76561198128295561,5943
76561198031480846,5937
76561197973942939,5926
76561198029178874,5923
76561198092231379,5922
76561198045218406,5913
