steam_id,playtime_forever
76561198065247809,12815
76561198189501926,12660
76561198084015139,12541
76561198077811980,8907
76561198044890488,8668
76561198033134963,8549
76561198225431384,8217
76561198026344945,8109
76561198062967154,8008
76561198065322400,7839
76561198087770592,7752
76561198054026701,7241
76561197984249981,7127
76561198043356370,7090
76561198071332808,6969
76561198046062663,6925
76561198083636157,6684
76561198045133986,6670
76561198076835892,6557
76561198073908917,6532
76561198046726002,6463
76561198121874542,6114
76561198072423643,6048
76561198092374007,5856
76561198126594586,5826
76561198031414399,5715
76561197998061835,5714
76561198011714432,5658
76561198080804547,5541
76561198013341259,5470
76561198024984271,5437
76561198080609032,5264
76561198128295561,5143
76561198060977372,4953
76561198048638445,4914
76561198054835798,4723
76561198037750043,4721
76561198067412704,4693
76561198088105280,4652
76561198090426708,4640
76561198050363268,4540
76561198028731533,4513
76561198091810182,4384
76561198008793871,4367
76561198078381993,4362
76561197993958579,4303
76561198079990063,4280
76561198035232640,4254
76561198065755282,4223
76561198014278943,4190
76561198075199712,4171
76561198016099805,4140
76561198078138335,4096
76561198061365507,4091
76561198078406041,4081
76561198054772649,4061
76561198067386183,4045
76561198051987402,3958
76561198100210530,3946
76561198021710409,3942
76561198030091459,3908
76561198073647322,3890
76561197977615598,3881
76561198024557182,3863
76561198049043902,3856
76561198035366007,3854
76561198062718030,3838
76561198042778485,3822
76561198006735420,3814
76561198078390984,3798
76561198181921139,3795
76561198103357676,3764
76561198063584783,3744
76561198088599132,3739
76561197999570687,3683
76561198069542841,3667
76561198006893092,3615
76561198034630921,3538
76561198074623042,3512
76561198040893371,3495
76561197983254661,3442
76561198061981193,3436
76561198052928427,3349
76561198042082977,3340
76561198046423526,3334
76561198057743516,3322
76561198093792908,3305
76561198073576538,3291
76561198049132458,3280
76561198054935821,3274
76561198056352983,3268
76561198022221822,3183
76561198011218089,3178
76561198259747598,3158
76561198060654968,3139
76561198069758889,3113
76561198085092904,3077
76561198047567643,3071
76561198067777635,3056
76561198054932978,3050
76561198045218406,3037
76561198030322804,3028
76561198064619260,3011
76561198131002806,3007
76561198035963350,2987
76561198049320489,2956
76561198074117066,2956
76561197995163667,2936
76561197993725260,2932
76561198057950387,2925
76561198078493105,2889
76561198061784934,2888
76561198009989591,2877
76561198027488037,2876
76561198051237921,2821
76561198089300025,2807
76561198098171704,2750
76561198067724221,2712
76561198030863480,2698
76561198041963382,2690
76561198080466065,2673
76561198074221489,2666
76561198069543013,2656
76561197997588056,2656
76561198044031884,2653
76561198046186376,2642
76561198036810834,2641
76561198027254626,2610
76561198061730629,2610
76561198073255242,2606
76561198046446795,2600
76561198089082829,2599
76561198098640798,2589
76561198012246084,2577
76561198060396316,2573
76561197979383259,2572
76561198040149411,2570
76561198091361516,2541
76561198044002401,2532
76561198009205155,2528
76561198004673294,2519
76561198059753818,2518
76561198027455053,2505
76561198069686889,2504
76561198138691719,2492
76561198089629607,2484
76561198012749284,2473
76561198064995800,2472
76561198069340575,2469
76561198062396491,2465
76561198096157669,2463
76561198025242752,2446
76561198075208395,2440
76561198042248161,2433
76561198129749337,2421
76561198052303688,2414
76561198077110027,2408
76561197976561718,2408
76561198096246986,2393
76561198071418758,2389
76561198024790473,2386
76561198070361854,2383
76561198044077787,2366
76561198026059219,2361
76561198065606007,2360
76561198045212344,2351
76561198065377860,2350
76561198024189980,2349
76561198093157886,2345
76561198068145136,2330
76561198056572046,2322
76561198297906261,2320
76561198238911958,2319
76561198104448535,2300
76561198084527337,2291
76561198053772119,2269
76561198241723758,2251
76561198069009029,2244
76561198054250345,2237
76561198044060397,2236
76561198169703649,2233
76561198181829522,2229
76561198064503363,2224
76561198039989341,2210
76561198058452151,2186
76561198036409929,2181
76561198060772954,2177
76561198055224302,2174
76561198014910012,2167
76561198035564997,2165
76561198068866075,2149
76561197995897533,2148
76561198022347840,2147
76561198024378697,2140
76561198041553393,2138
76561198056546335,2138
76561198031729727,2137
76561198060808273,2124
76561198036810976,2119
76561198061505714,2116
76561197985389455,2112
76561198071970196,2108
76561197968167449,2107
76561198048071301,2105
76561198004819239,2104
76561197976198745,2101
76561198055817813,2100
76561198278508095,2093
76561198018560501,2086
76561198065775099,2079
76561198050614167,2078
76561198057134853,2077
76561198030328147,2077
76561198059853562,2070
76561198041882833,2057
76561198073214650,2046
76561198161244904,2037
76561197960467275,2034
76561198060343347,2032
76561198097766259,2032
76561198282960865,2032
76561198013187951,2031
76561198033774845,2029
76561198095345433,2029
76561198041823027,2028
76561197992006300,2027
76561198067511342,2024
76561198076031882,2021
76561198048070885,2021
76561198054131489,2017
76561198033986892,2012
76561198077917075,2007
76561198027041926,2002
76561198081972863,2000
76561198056755906,1999
76561198101679549,1988
76561197988698095,1988
76561198144362354,1985
76561197997380596,1974
76561198050452751,1969
76561197975867686,1955
76561197976603911,1940
76561198026368944,1938
76561198065941433,1936
76561198075746262,1931
76561198015511443,1927
76561198066769207,1914
76561198026531048,1901
76561198045492271,1896
76561198077267953,1893
76561198043946426,1889
76561198101470881,1877
76561198018552963,1876
76561198104084938,1874
76561198047255522,1868
76561198167207237,1864
76561198010651506,1860
76561198071716213,1856
76561198065071409,1854
76561198039615816,1852
76561198072472750,1850
76561198076341968,1850
76561198137563528,1841
76561198075915471,1837
76561198058833525,1828
76561198066112366,1827
76561198079079942,1826
76561198103654255,1826
76561197973114685,1809
76561198066584076,1803
76561198170477598,1799
76561198060085315,1795
76561198086621637,1794
76561198060550550,1790
76561198107732375,1790
76561198055325714,1788
76561198076902830,1786
76561198066525970,1778
76561198079896944,1776
76561198054280790,1765
76561198043275956,1756
76561198065430696,1755
76561198089638608,1752
76561198044127701,1751
76561198067079346,1750
76561198064979520,1747
76561198048557313,1742
76561197995788960,1727
76561198069279256,1726
76561198029816191,1723
76561198046151368,1721
76561198053244270,1717
76561198063137936,1713
76561197986307013,1712
76561198067354912,1702
76561198071433562,1688
76561198097794993,1687
76561198078126186,1679
76561198035476953,1678
76561198083901617,1670
76561198051582488,1670
76561198064992530,1670
76561198030739126,1666
76561198041842292,1663
76561198115099755,1659
76561198079357946,1656
76561198019392535,1655
76561198067657905,1653
76561198066779565,1653
76561197993678100,1646
76561198076348309,1645
76561198041121765,1636
76561198037664265,1627
76561198025116552,1624
76561198069122441,1619
76561198044958970,1618
76561198062266845,1612
76561198034468993,1603
76561198058009823,1603
76561198069854083,1602
76561198016599173,1601
76561198049969087,1598
76561198053136232,1597
76561198053614643,1596
76561198050092449,1594
76561198042019784,1579
76561198061641157,1578
76561198053081570,1576
76561198095044103,1575
76561197999723750,1573
76561198026497579,1572
76561198039506014,1570
76561198097903633,1565
76561198070644256,1564
76561198045767413,1562
76561198072892042,1562
76561198052513392,1560
76561198049650989,1558
76561198020371024,1552
76561198091657423,1549
76561198060316305,1547
76561198100311819,1542
76561198045613177,1541
76561198095756783,1534
76561198047588382,1531
76561198092300490,1529
76561198067695331,1529
76561198087978958,1529
76561197990023750,1527
76561198040892943,1526
76561198114969651,1525
76561198079549835,1522
76561198082644667,1520
76561198036169644,1520
76561198072793232,1519
76561198071752168,1517
76561197964050011,1516
76561198083389140,1513
76561198059785348,1512
76561198043463874,1508
76561198041965056,1507
76561198025747874,1504
76561198064151146,1496
76561198072119751,1494
76561198051387402,1492
76561198062566429,1491
76561198075938402,1486
76561198042952376,1483
76561198061846836,1483
76561197964092053,1482
76561198072500266,1480
