steam_id,playtime_forever
76561198034699157,63616
76561198035644871,3951
76561197970528472,2856
76561198049514509,2732
76561198066992387,2091
76561197983457049,1796
76561198112402475,1663
76561197995207074,1564
76561198064635236,1453
76561197968515942,1404
76561198016475503,1360
76561197963554381,1133
76561197988976770,1107
76561197995582723,1086
76561198064632090,1058
76561198030129600,947
76561198076019258,905
76561197962929275,878
76561198053795491,833
76561197969938407,770
76561197962532359,760
76561198131276487,747
76561198082199887,712
76561198046813126,634
76561198019294407,622
76561198020172660,613
76561198062232099,603
76561198055974384,584
76561198058191566,563
76561198025594855,535
76561197998873955,506
76561198025198217,502
76561197995163667,500
76561197997860947,496
76561198071263038,488
76561197991836307,480
76561198041669718,476
76561198041111114,476
76561197990023750,475
76561198006893092,437
76561198078510442,435
76561198000537256,425
76561197978837955,424
76561197994390234,423
76561198036127792,417
76561198008783917,407
76561198011218089,392
76561198033772469,389
76561197999719746,381
76561197967272400,380
76561198038659583,370
76561198118965684,362
76561198055775816,356
76561198085470909,355
76561198120364067,353
76561198044783305,346
76561197967723333,345
76561198058230663,344
76561198024894178,343
76561198034311233,338
76561198067439927,336
76561198052864248,333
76561198028729306,326
76561198047925260,321
76561198029968002,315
76561198010776633,305
76561198008871874,304
76561198066174858,304
76561198060927199,301
76561198057552510,297
76561197973439193,295
76561197968788420,293
76561198048151962,293
76561198021710409,293
76561198030014023,292
76561198042182944,290
76561198055555174,287
76561198044920564,283
76561198020974455,283
76561197965966319,279
76561198035901114,278
76561198001518866,277
76561198051336934,275
76561198070585472,273
76561197993988187,272
76561198005738944,272
76561197997792190,270
76561197994830976,269
76561198120863188,266
76561197990340465,266
76561198119650707,266
76561197983367658,266
76561198062841345,264
76561198067219635,264
76561198119803063,264
76561198063489755,263
76561198102767019,262
76561197987245915,261
76561198032007689,260
76561198148074610,254
76561197964334210,253
76561198040255872,251
76561198060270149,250
76561198038179236,249
76561197993676441,249
76561198095204217,245
76561198053516585,243
76561197976668781,241
76561197982685987,240
76561198072757340,239
76561198023172776,239
76561198044882472,231
76561197974101057,229
76561198078075495,225
76561198037197339,225
76561198061350086,222
76561198004998420,222
76561198066893700,222
76561198093166360,219
76561197999222178,218
76561198075300723,213
76561198067157448,211
76561198063327016,210
76561197968436663,208
76561197997380596,206
76561198099111544,204
76561197973942698,200
76561198027246196,197
76561198005477736,189
76561198042776645,188
76561198049116471,186
76561198048168493,185
76561197979745311,185
76561198038148907,185
76561198048019596,181
76561197970545566,176
76561198024262242,174
76561198079469223,174
76561198085441225,174
76561198041582030,173
76561198012778932,172
76561198050762093,171
76561198040340682,171
76561198037437275,171
76561198124293283,161
76561198054506708,160
76561197991677902,155
76561198064621980,150
76561197990222633,150
76561198018872195,149
76561198013018363,148
76561197996400788,148
76561197971857001,146
76561197996590082,146
76561198081359532,142
76561198073763344,142
76561198052903951,139
76561197989615671,138
76561198067309917,136
76561198068472094,133
76561197989380469,133
76561198009521620,132
76561198020709117,131
76561198066017499,131
76561198053130672,129
76561197964092053,129
76561198008181611,128
76561198007352599,125
76561197991787618,123
76561198039912418,121
76561198069453784,121
76561198046109277,120
76561198035575592,120
76561198024764182,118
76561197998610301,116
76561198055707524,114
76561198036745107,108
76561198091571570,106
76561198137551215,106
76561198019968924,106
76561198065832034,102
76561198012050762,100
76561197963443099,97
76561198086891343,95
76561198044334485,92
76561198041730036,90
76561198008393968,87
76561198057086148,85
76561198018065970,85
76561198045790068,85
76561197980918255,85
76561198012139879,84
76561198192373206,83
76561197967174031,83
76561198054501521,82
76561198071041704,82
76561198031636591,80
76561197970535618,80
76561198029942789,78
76561198168446182,76
76561198078497738,76
76561198020285861,75
76561198046096030,73
76561198071970196,72
76561198021611368,71
76561198043813684,69
76561197985168439,69
76561198055180455,69
76561198046097024,68
76561198189854528,65
76561198000554821,63
76561198060035281,62
76561198061412364,62
76561197970937211,62
76561198069271631,61
76561198003811382,61
76561198043460055,61
76561198046908445,60
76561198002557471,59
76561197971077817,59
76561198076317307,58
76561198063100139,57
76561198035476953,57
76561198034392042,57
76561198035694541,56
76561197969407671,55
76561198041637400,54
76561198115929312,54
76561198031414399,54
76561198042148642,52
76561198025072353,52
76561198089598638,52
76561198071418758,52
76561198044508924,51
76561197974522156,51
76561198091009802,51
76561198023153321,50
76561198039123142,50
76561198110587369,49
76561198008827809,48
76561198137833872,48
76561198055993346,47
76561198016610271,47
76561198030947939,46
76561197977767389,46
76561198105929425,46
76561198028458466,45
76561198067786754,44
76561197990266762,44
76561198052441383,43
76561198059180662,43
76561197977525575,43
76561198071256458,43
76561198050863556,43
76561198019040043,43
76561198091563407,42
76561197993144047,41
76561198089965977,41
76561198072541900,41
76561198044595092,41
76561198018885388,40
76561198015460867,40
76561198084457389,40
76561198079342167,38
76561197992872827,37
76561198036409929,37
76561198058957495,37
76561198063874303,36
76561198066387804,35
76561198084591920,35
76561198030968992,35
76561198027267197,34
76561198065322037,34
76561198259747598,34
76561198006541747,34
76561198098447960,34
76561197983589335,34
76561198025067937,34
76561198044383266,33
76561198040199371,33
76561198042727579,33
76561198040569763,33
76561197993654066,33
76561198089815482,33
76561197984331196,33
76561198003868600,32
76561198045972083,32
76561197992006300,32
76561198003518833,31
76561198026372404,31
76561197969049193,31
76561198006942674,30
76561198047296721,30
76561198067654837,30
