steam_id,playtime_forever
76561198042966858,142964
76561198035718256,115083
76561198042237966,105617
76561197998660875,79237
76561198044238932,75240
76561198059330972,65427
76561198018188350,62396
76561198045222792,50743
76561198044591394,46876
76561198050296173,43320
76561198089082829,42357
76561198097172610,38739
76561198074766231,37926
76561198081164897,37539
76561198065725333,30506
76561198063361762,27298
76561198069145498,26035
76561198041624506,25031
76561198070164022,22618
76561198070333683,20767
76561198067096180,20258
76561198012909706,18779
76561198037964734,18033
76561198064708436,17732
76561198064713198,17295
76561198060468645,16664
76561198054200662,16609
76561198067053329,16522
76561197976370569,15099
76561198068106044,14718
76561198026008283,14560
76561198083656678,14556
76561197994047173,13734
76561198080609032,13453
76561198055339371,13339
76561198011533373,13099
76561198052593567,12977
76561198075405059,12719
76561198078933557,12228
76561198053382774,12174
76561198079113109,12094
76561197997213967,11859
76561198028889602,11767
76561198066185335,11721
76561198045765147,11708
76561198061175850,11617
76561198062326873,11530
76561198019905604,10656
76561198033993807,10553
76561198033992409,10518
76561198089561967,10243
76561198069334653,9978
76561198046767905,9953
76561198073046687,9925
76561198015326274,9884
76561198076034868,9861
76561198051253857,9852
76561198009743781,9810
76561198040660567,9626
76561198079694867,9555
76561198070817727,9480
76561198053230995,9335
76561198053859011,9235
76561198034392042,9217
76561198035893080,9207
76561198053619760,9068
76561198063644848,8969
76561197987065774,8919
76561198097215277,8733
76561198084763741,8654
76561198054566872,8633
76561198068629778,8543
76561198054763421,8405
76561198072745658,8404
76561198067860045,8324
76561198067146401,8308
76561198050718261,8102
76561198057602123,7973
76561198008728411,7915
76561198132903596,7816
76561198059336114,7597
76561198003855855,7552
76561198093737816,7548
76561198026235710,7397
76561198027455361,7194
76561198065080939,6959
76561198031043766,6482
76561198084316222,6460
76561198040536775,6215
76561198091795062,6098
76561198060263985,6064
76561198066513298,6025
76561198057172451,5987
76561198045745102,5966
76561198046097024,5953
76561198063596065,5941
76561198064536870,5858
76561198019917117,5841
76561198075840135,5747
76561198075266395,5730
76561198017487896,5667
76561197995896877,5574
76561198086133421,5548
76561198048247974,5454
76561198088032782,5366
76561198073328251,5328
76561198048799529,5311
76561198010576179,5168
76561198120690276,5165
76561198065204404,5105
76561198025234328,5038
76561198047095349,4984
76561198120475353,4908
76561198081478781,4905
76561198088672275,4873
76561198000537256,4871
76561198051579252,4684
76561198054154664,4556
76561198066622733,4543
76561198061240525,4518
76561198080601395,4513
76561198080616682,4508
76561197966604253,4468
76561198028290577,4458
76561198009597137,4395
76561198025454642,4389
76561198097169936,4354
76561197995176045,4349
76561198065810697,4189
76561198055340148,4145
76561198031386080,4134
76561198042598239,4073
76561198095150995,4042
76561198061770996,3979
76561198070086431,3913
76561198065932922,3901
76561198047136712,3899
76561198069077711,3881
76561198071259746,3878
76561198076207552,3844
76561198035774455,3835
76561198051463190,3831
76561198084027874,3808
76561198062099971,3797
76561198052846013,3768
76561198080225355,3747
76561198035819278,3708
76561197985634755,3627
76561198045591068,3621
76561198056652803,3535
76561198043443775,3450
76561198059966696,3444
76561198084697167,3405
76561198051569769,3351
76561198050945050,3343
76561198133102276,3323
76561198053745216,3298
76561198045754869,3206
76561198001518866,3196
76561198071388587,3191
76561198066148207,3184
76561198000079749,3129
76561198037720383,3104
76561198076790354,3094
76561198012664430,3042
76561198025614826,3029
76561198054678415,3009
76561198093540389,3003
76561198096558103,2983
76561198068118109,2922
76561198053280901,2884
76561198043324336,2785
76561198058645143,2778
76561198041965668,2743
76561198067679439,2743
76561198065601942,2727
76561198055357267,2714
76561198043946150,2696
76561198040305315,2687
76561198034742298,2686
76561198016215456,2666
76561198054556006,2653
76561198043532486,2647
76561197966132503,2643
76561198028719860,2639
76561198097438237,2623
76561198058452151,2600
76561198065040988,2582
76561197968713499,2560
76561198057536251,2552
76561198081963796,2525
76561198034699157,2520
76561198059955576,2503
76561198009276102,2484
76561198041189426,2473
76561198047972512,2471
76561198107076030,2471
76561198104713917,2467
76561198044245052,2455
76561197997118766,2382
76561198060675353,2377
76561198062317507,2374
76561198056862794,2371
76561198049216950,2371
76561198060517829,2347
76561198044012046,2344
76561198085577667,2327
76561198057728382,2326
76561198045503469,2278
76561198061502928,2274
76561198035025987,2260
76561198019216358,2246
76561198046007860,2225
76561198071349969,2215
76561198064948429,2137
76561198039224622,2123
