steam_id,playtime_forever
76561198046730356,4935
76561198007484347,3337
76561198045218406,2876
76561197970550128,2741
76561198080690597,2724
76561198037038784,2560
76561197992284075,2315
76561198051452666,2257
76561197975867686,2218
76561197971128349,1710
76561198064979520,1644
76561198035999413,1635
76561197990782367,1530
76561198045956296,1526
76561197972143548,1463
76561197973395845,1319
76561198006536709,1162
76561198023403380,1110
76561198008211473,1078
76561198019823540,1070
76561198026541561,1035
76561198023514970,1004
76561198072908015,949
76561197968411887,934
76561198006892728,927
76561198029976254,874
76561198060483469,874
76561198014960129,854
76561198000537256,848
76561198048248287,824
76561198013296434,782
76561197998047221,743
76561197992204503,728
76561198026971509,718
76561198024442768,717
76561197973942698,717
76561197998189696,716
76561198013164688,697
76561198058111484,678
76561197970293062,670
76561198072301513,663
76561198041562431,628
76561198066131366,624
76561198096003148,607
76561198036542286,607
76561197991960746,589
76561197971074473,542
76561198057049076,489
76561198064768752,484
76561198011579146,467
76561198102767019,465
76561198009266214,459
76561197992272514,450
76561198041823841,446
76561198061807140,437
76561197992161385,421
76561198054073078,397
76561197997711225,393
76561198011133576,393
76561198048151962,382
76561198005934962,347
76561198041673748,327
76561197976563378,314
76561198055866052,311
76561198008181611,288
76561198004297427,268
76561198067219635,240
76561198021814659,239
76561198058230663,237
76561198061962799,232
76561198138390863,227
76561198025720387,222
76561197968887720,221
76561197970723780,221
76561198001518866,215
76561198118965684,210
76561197989869899,208
76561198042441420,204
76561198087066156,203
76561198003167470,195
76561198042146054,194
76561198006442367,194
76561198030021498,184
76561198033713264,184
76561198029743458,179
76561198071937219,179
76561198066832504,175
76561198085441225,174
76561197994830976,171
76561198046806915,164
76561197992227006,161
76561198069324966,161
76561197973306956,159
76561197976313504,156
76561198091490622,118
76561197993263354,117
76561198056194879,116
76561197998184532,110
76561198072119751,109
76561198137551215,106
76561198038573915,99
76561197972303841,98
76561198044508924,98
76561198123393608,98
76561198032007689,98
76561198044920564,91
76561197988228140,91
76561197992681922,91
76561198013000952,90
76561198012046797,89
76561198030779181,83
76561198082712691,77
76561198058715603,73
76561198036077253,73
76561198071970196,72
76561198189854528,65
76561198054483777,64
76561198074812011,63
76561198061412364,62
76561197998071276,62
76561198093209097,56
76561198073169757,53
76561198058291343,51
76561198137833872,49
76561198064534559,49
76561198067677991,48
76561197975369524,48
76561198020937329,48
76561198055993346,47
76561198105929425,46
76561198067786754,44
76561198050863556,43
76561197983066077,42
76561198091563407,42
76561197991030061,41
76561198071677972,39
76561197967272400,39
76561197998943704,39
76561197997534851,39
76561198026960298,38
76561198066387804,35
76561198025067937,34
76561198098447960,34
76561198089815482,33
76561198038398765,32
76561198079547383,31
76561198086885214,29
76561198069605990,29
76561197961112434,28
76561198067508529,27
76561198065077654,27
76561198017664218,27
76561198082446159,27
76561198021307778,27
76561198044863318,26
76561198062163675,26
76561198037645864,26
76561198068441529,26
76561198027827983,25
76561198070643382,25
76561198157030358,25
76561198055235265,25
76561197996884569,25
76561198061396500,24
76561198003811382,24
76561198095123805,23
76561198040892943,23
76561197995338574,23
76561198086809947,22
76561198030498775,22
76561198054627970,22
76561198044090729,22
76561198077844540,21
76561198203712395,21
76561198083882871,21
76561198094423213,20
76561198094678131,20
76561198061650490,19
76561198126530531,19
76561198041965216,19
76561197993381773,19
76561198070868930,19
76561198092017642,18
76561198065972251,18
76561198095164410,18
76561198093812745,18
76561198091638676,18
76561198091404694,18
76561198074221489,18
76561198050611118,18
76561198132903596,17
76561198073341053,17
76561198093792318,17
76561197960537043,17
76561198074674290,17
76561198053443436,16
76561198025094909,16
76561198059373487,16
76561198091552949,15
76561198059850084,15
76561198067068112,15
76561198048699054,15
76561198069068453,15
76561198061294635,15
76561197979217037,14
76561198032588319,14
76561198070703896,14
76561198002480048,14
76561198036142900,14
76561198068649041,13
76561198079221660,13
76561197993218101,13
76561198206390889,13
76561198055877493,13
76561198073715148,13
76561198072973126,13
76561198156776848,13
76561198078552000,13
76561198059298985,13
76561198070548390,13
76561198090428924,13
76561198007413732,13
76561198074285384,13
76561198050090419,13
76561198091416716,12
76561198013785384,12
76561198051450825,12
76561198066391348,12
76561198028730226,12
76561197981388299,12
76561198078904179,12
76561198078625585,12
76561198067728137,11
76561198071776318,11
76561198256427327,11
76561198206245737,11
76561198072732111,11
76561198051771696,11
76561198078370241,11
76561198070990633,11
76561198095653552,11
76561198025199732,11
76561198072118284,11
76561198052787436,11
76561198118326209,11
76561198089403782,11
76561198185677453,11
76561198083451317,11
76561198044383808,11
76561198040467357,11
76561198084640006,11
76561198085916987,10
76561197968475942,10
76561198105430566,10
76561198050063708,10
76561198091515229,10
76561198046467232,10
76561198019568583,10
76561198085748969,10
76561198091477682,10
76561198085547365,10
76561198063109245,10
76561198119111336,10
76561198096008776,10
76561198019137995,10
76561198020613033,10
76561198105955103,10
76561198049901169,10
76561198057921996,10
76561198064894732,10
76561198087192695,10
76561198028553619,10
76561198040647320,10
76561197986591060,10
76561198093753220,10
76561198017848971,10
76561198071430243,10
76561198100422868,10
76561198059506450,10
76561198059180746,10
76561198100334615,10
76561198035102791,10
76561198065425354,10
76561198089725181,10
76561198127172904,10
76561198062098690,10
76561198045337353,10
76561198071708030,10
76561198084596431,10
76561198094834382,10
76561198053503673,10
76561198155754459,10
76561198071344952,10
76561198056356827,10
76561197965426987,10
76561198067293537,10
76561198081529182,10
76561198072595461,10
76561198054140459,10
76561198094074209,9
76561198028517563,9
76561198048699247,9
76561198096037903,9
76561198085808870,9
76561198042913128,9
76561198075141715,9
76561198011488395,9
76561198156976769,9
76561198081021515,9
76561198137075100,9
76561198046979244,9
76561198097554659,9
76561198067311198,9
76561198040257934,9
76561198040258534,9
76561198202398471,9
76561198080724024,9
76561198190157455,9
76561197989728414,9
76561198063858480,9
76561198017540600,9
76561198071070679,8
76561198064744936,8
76561198092287469,8
76561198095471397,8
76561198090962132,8
76561197960889906,8
76561198050862289,8
76561198059783767,8
76561198012691048,8
76561198090285609,8
76561198106949471,8
76561198061730629,8
76561198072136029,8
76561198091145270,8
76561197988455997,7
76561198009852170,7
76561198010692023,7
76561197986594271,7
76561198049652063,7
76561198122123166,7
76561198083781571,7
76561198088799241,7
76561198006735420,7
76561198030181298,7
76561198086402135,7
76561198064933121,7
76561198079469223,7
76561198152913733,7
76561198087335557,7
76561198071862339,7
76561198004873587,7
76561198046783368,7
76561197960435530,7
76561198060469749,7
76561198068079333,7
76561198064595544,7
76561198088458176,7
76561198030343769,6
76561198054423987,6
76561198091571570,6
76561198040901645,6
76561198026044298,6
76561198059354178,6
76561198076203487,6
76561198058731478,6
76561198049141588,6
76561198052253959,6
76561198015169206,6
76561198123820748,6
76561198134496163,6
76561198013518166,6
76561198112280759,6
76561198124733593,6
76561198136976761,6
76561198098422227,6
76561198119076330,6
76561198107121855,6
76561198007067379,6
76561198084636226,5
76561198078967238,5
76561198057397326,5
76561198029596731,5
76561198011276519,5
76561198086249556,5
76561198095560360,5
76561198046378596,5
76561198065849983,5
76561198087884350,5
76561198071384791,5
76561198009702272,5
76561198073865203,5
76561198012329769,4
76561198032466454,4
76561198099032612,4
76561198081831472,4
76561198047489646,4
76561198084985133,4
76561198090018608,4
76561198082027703,4
76561198092261500,4
76561198000000222,4
76561198062417966,4
76561198005517460,4
76561198037392951,4
76561198104017243,4
76561198010408558,4
76561198051004171,4
76561198074258030,3
76561198125851546,3
76561198013018363,3
76561198057415723,3
76561198066544547,3
76561198032445230,3
76561198086130041,3
76561198108626960,3
76561198219091391,3
76561197992160513,3
76561198076513951,3
76561198077528839,3
76561198088092046,3
76561198092227136,3
76561198119567947,3
76561198085456898,3
76561197983556796,3
76561198080128533,3
76561198080466905,3
76561198053984992,3
76561198089665038,3
76561197998534560,3
76561198038505432,2
76561198068667319,2
76561198098152088,2
76561198013600577,2
76561198101891463,2
76561198085844825,2
76561198069030313,2
76561198043305211,2
76561198073436219,2
76561198086473088,2
76561198089965977,2
76561198085908071,2
76561197998308036,2
76561198012572074,2
76561198065171294,2
76561198071890487,2
76561198095323017,2
76561198028509438,2
76561198166278559,2
76561198060823805,2
76561198054599203,2
76561198081808943,2
76561197972623322,2
76561198161244904,2
76561198077117913,2
76561198097882242,2
76561198252343530,2
76561198081008739,2
76561198093165441,2
76561198078106032,1
76561198071643543,1
76561197971444472,1
76561198112846393,1
76561198086388883,1
76561198053139899,1
76561198082552101,1
76561198157996443,1
76561198077811662,1
76561198086302347,1
76561198067717640,1
76561197972380658,1
76561198042443120,1
76561198086111107,1
