item_id,item_name,playtime_forever,playtime_2weeks
4000,Garry's Mod,3606,0
105600,Terraria,7325,0
67370,The Darkness II,316,0
7670,BioShock,57,0
409710,BioShock Remastered,0,0
730,Counter-Strike: Global Offensive,21031,0
204360,Castle Crashers,44,0
205790,Dota 2 Test,0,0
113400,APB Reloaded,134,0
218230,PlanetSide 2,49,0
230410,Warframe,5867,5871
234310,March of War,0,0
243870,Tom Clancy's Ghost Recon Phantoms - NA,1499,0
271290,HAWKEN,34,0
206500,AirMech,9,0
246280,Happy Wars,0,0
65930,The Bureau: XCOM Declassified,0,0
218620,PAYDAY 2,2475,0
550,Left 4 Dead 2,2150,0
223530,Left 4 Dead 2 Beta,0,0
304050,Trove,561,0
304930,Unturned,2939,0
315640,Dizzel,0,0
222900,Dead Island: Epidemic,20,0
24240,PAYDAY: The Heist,205,0
333930,Dirty Bomb,0,0
280790,Creativerse,0,0
449140,Istrolid,6,0
497850,8-Bit Hordes,279,0
273350,Evolve Stage 2,2272,0
