genres,app_name,release_date,price,id,developer
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,2018-01-04,4.99,761140.0,Kotoshiro
"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,2018-01-04,0.0,643980.0,Secret Level SRL
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,2017-07-24,0.0,670290.0,Poolians.com
"['Action', 'Adventure', 'Casual']",弹炸人2222,2017-12-07,0.99,767400.0,彼岸领域
"['Action', 'Indie', 'Casual', 'Sports']",Log Challenge,2016-04-21,2.99,773570.0,
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,2018-01-04,3.99,772540.0,Trickjump Games Ltd
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,2018-01-04,9.99,774276.0,Poppermost Productions
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,2018-01-04,18.99,774277.0,Poppermost Productions
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,2018-01-04,29.99,774278.0,Poppermost Productions
"['Casual', 'Indie', 'Racing', 'Simulation']",Race,2018-01-04,4.99,768800.0,RewindApp
"['Action', 'Indie', 'Simulation', 'Early Access']",Uncanny Islands,2016-04-21,4.99,768570.0,Qucheza
['Casual'],Icarus Six Sixty Six,2016-04-21,0.0,724910.0,
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,10.99,770380.0,Stegalosaurus Game Development
"['Casual', 'Indie']",Beach Rules,2018-01-04,3.99,768880.0,Copperpick Studio
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2018-01-03,2.99,765320.0,Ghulam Jewel
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,2018-01-03,1.59,773650.0,Apillo
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,2018-01-03,14.99,774271.0,Poppermost Productions
